name_res,kind_res,address,promotion,star,number_rating,status,open_time,cost_res,store_url
Binzi - Cơm Sốt & Cơm Văn Phòng - Lạc Long Quân,QUÁN ĂN -Chi nhánh,"4 Ngõ 43 Lạc Long Quân, P. Nghĩa Đô, Cầu Giấy, Hà Nội",Giảm hết 25%,4.5,50+,Mở cửa,00:00 - 23:59,0 - 0,https://shopeefood.vn/ha-noi/binzi-com-sot-com-van-phong-lac-long-quan
Cơm Gà Nướng Lu 99 - Dương Quảng Hàm,QUÁN ĂN -Chi nhánh,"18 Ngõ 48 Dương Quảng Hàm, P. Quan Hoa, Cầu Giấy, Hà Nội",Giảm món,4.5,500+,Đóng cửa,,30.000 - 55.000,https://shopeefood.vn/ha-noi/com-ga-nuong-lu-99-duong-quang-ham
Nhất Cháo - Nguyễn Thị Định,"Yêu thích
QUÁN ĂN -Chi nhánh","18 Nguyễn Thị Định, P. Trung Hòa, Cầu Giấy, Hà Nội",Giảm món,4.5,999+,Mở cửa,00:00 - 01:45 | 08:00 - 23:59,50.000 - 80.000,https://shopeefood.vn/ha-noi/nhat-chao-nguyen-thi-dinh
Tiệm Nhà Dâu - Gỏi Cuốn & Bún Chả Hà Thành - Vũ Tông Phan,CAFÉ/DESSERT,"Số 5A, Ngách 31 Ngõ 387 Phố Vũ Tông Phan, P. Khương Đình, Thanh Xuân, Hà Nội",Giảm hết 20%,4.5,50+,Đóng cửa,,40.000 - 65.000,https://shopeefood.vn/ha-noi/tiem-nha-dau-goi-cuon-bun-cha-ha-thanh-vu-tong-phan
Chè Ngon Mẹ Tép - Chè & Sữa Chua Các Loại Online,SHOP ONLINE,"258 Mễ Trì Thượng, P. Mễ Trì, Nam Từ Liêm, Hà Nội",Giảm hết 10%,4.5,999+,Mở cửa,09:00 - 23:30,15.000 - 30.000,https://shopeefood.vn/ha-noi/che-ngon-me-tep-che-sua-chua-cac-loai-online
Cơm Ngon Quang Hiếu,QUÁN ĂN,"106 Y9 Ngõ Tự Do, P. Đồng Tâm, Hai Bà Trưng, Hà Nội",Giảm món,4.5,999+,Đóng cửa,,20.000 - 50.000,https://shopeefood.vn/ha-noi/com-ngon-quang-hieu
Trà Sữa Wait Tea - Xuân Đỉnh,"Yêu thích
CAFÉ/DESSERT -Chi nhánh","433 Xuân Đỉnh, P. Xuân Đỉnh, Bắc Từ Liêm, Hà Nội",Giảm món,4.5,500+,Mở cửa,08:00 - 23:29,20.000 - 100.000,https://shopeefood.vn/ha-noi/tra-sua-wait-tea-xuan-dinh
Japchae - Miến Trộn Hàn Quốc,QUÁN ĂN,"Tầng 1, 247A Trần Đại Nghĩa, P. Trương Định, Hai Bà Trưng, Hà Nội",Giảm món,4.5,500+,Đóng cửa,,17.000 - 155.000,https://shopeefood.vn/ha-noi/japchae-mien-tron-han-quoc
Bún Chả & Bún Đậu Mắm Tôm A Chảnh - Ao Sen,QUÁN ĂN,"Số 7 Ngõ 36 Ao Sen, P. Mộ Lao, Hà Đông, Hà Nội",Giảm hết 20%,3,50+,Mở cửa,08:00 - 23:59,0 - 0,https://shopeefood.vn/ha-noi/bun-cha-bun-dau-mam-tom-a-chanh-ao-sen
Xả Cà Phê - Cà Phê Muối & Trà Hoa Quả,CAFÉ/DESSERT -Chi nhánh,"106 Bồ Đề, P. Bồ Đề, Long Biên, Hà Nội",Giảm món,4.5,50+,Đóng cửa,,20.000 - 50.000,https://shopeefood.vn/ha-noi/xa-ca-phe-ca-phe-muoi-tra-hoa-qua
