store_id,name_res,kind_res,address,promotion,star,number_rating,status,open_time,cost_res,store_url,district
100,Tiệm Cháo Dinh Dưỡng RuBy - Cháo Dinh Dưỡng - 1 Thổ Quan,QUÁN ĂN,"1 Thổ Quan, Đống Đa, Hà Nội",Giảm hết 15%,0.0,3,Mở cửa,06:00 - 23:30,0 - 0,https://shopeefood.vn/ha-noi/tiem-chao-dinh-duong-ruby-chao-dinh-duong-1-tho-quan.vrpron,Đống Đa
101,Kem Swensen's - Times City,CAFÉ/DESSERT -Chi nhánh,"Tầng Hầm 1, Tầng B1 TTTM Times City, 458 Minh Khai, P. Vĩnh Tuy, Hai Bà Trưng, Hà Nội",Giảm món,4.5,100,Mở cửa,09:30 - 21:30,109.000 - 490.000,https://shopeefood.vn/ha-noi/kem-swensen-s-times-city,Hai Bà Trưng
102,Trà Bí Đao - 254 Lê Thanh Nghị,ĂN VẶT/VỈA HÈ,"254B Lê Thanh Nghị, P. Đồng Tâm, Hai Bà Trưng, Hà Nội",Giảm món,5.0,8,Mở cửa,08:00 - 23:00,0 - 0,https://shopeefood.vn/ha-noi/tra-bi-dao-254-le-thanh-nghi,Hai Bà Trưng
103,Trà sữa ToCoToCo - 285 Hoàng Văn Thái,CAFÉ/DESSERT -Chi nhánh,"285 Phố Hoàng Văn Thái, P. Khương Trung, Thanh Xuân, Hà Nội",Giảm món,4.5,100,Mở cửa,09:30 - 22:00,0 - 0,https://shopeefood.vn/ha-noi/tra-sua-tocotoco-285-hoang-van-thai,Thanh Xuân
104,Hương Hội An - Cơm Gà Hội An - 213 Thanh Nhàn,"QUÁN ĂN, GIAO CƠM VĂN PHÒNG","213 Thanh Nhàn, P. Thanh Nhàn, Hai Bà Trưng, Hà Nội",Giảm hết 15%,3.5,7,Mở cửa,10:00 - 14:00 | 17:00 - 22:00,0 - 0,https://shopeefood.vn/ha-noi/huong-hoi-an-com-ga-hoi-an-213-thanh-nhan.n7tcvt,Hai Bà Trưng
105,Trà Sữa Tocotoco - Mipec Long Biên,CAFÉ/DESSERT -Chi nhánh,"Tầng 5, Tầng 5, Mipec, 2 Long Biên 2, Long Biên, Hà Nội",Giảm món,4.5,500,Mở cửa,09:30 - 21:30,20.000 - 60.000,https://shopeefood.vn/ha-noi/tra-sua-tocotoco-mipec-long-bien,Long Biên
106,Gà Rán Bốp Bi,ĂN VẶT/VỈA HÈ,"234 Thụy Khuê, P. Thụy Khuê, Tây Hồ, Hà Nội",Giảm món,4.5,500,Mở cửa,08:30 - 22:15,20.000 - 100.000,https://shopeefood.vn/ha-noi/ga-ran-bop-bi,Tây Hồ
107,Phở Cuốn Anh Tú,"Yêu thích
QUÁN ĂN","178 Ngọc Lâm, P. Ngọc Lâm, Long Biên, Hà Nội",Giảm hết 10%,4.5,999,Mở cửa,10:00 - 14:00 | 16:00 - 22:00,30.000 - 50.000,https://shopeefood.vn/ha-noi/pho-cuon-anh-tu,Long Biên
108,Zo Zo - Ăn Vặt Xa La - Khu Đô Thị Xa La,QUÁN ĂN,"CT2A Khu Đô Thị Xa La , P. Phúc La, Hà Đông, Hà Nội",Giảm món,4.5,10,Mở cửa,09:00 - 23:00,15.000 - 60.000,https://shopeefood.vn/ha-noi/zo-zo-an-vat-xa-la-khu-do-thi-xa-la,Hà Đông
109,PiPo Quán - Bánh Tráng Cuốn Thịt Heo,"Yêu thích
QUÁN ĂN","7 Nguyễn Bá Khoản, P. Trung Hoà, Cầu Giấy, Hà Nội",Giảm món,4.5,999,Mở cửa,10:30 - 21:30,45.000 - 90.000,https://shopeefood.vn/ha-noi/pipo-quan-banh-trang-cuon-thit-heo,Cầu Giấy
110,Chatthái - Trà Sữa Và Trà Chanh Thái Lan - Trần Quốc Toản,CAFÉ/DESSERT,"51 Trần Quốc Toản, P. Trần Hưng Đạo, Hoàn Kiếm, Hà Nội",Giảm món,5.0,10,Mở cửa,08:10 - 22:50,0 - 0,https://shopeefood.vn/ha-noi/chatthai-tra-sua-va-tra-chanh-thai-lan-tran-quoc-toan,Hoàn Kiếm
111,TuLi Food Mì Trộn - Mì Trộn Chua Ngọt & Indomie - 17 Chính Kinh,SHOP ONLINE,"Số 7 Ngõ 17 Chính Kinh, P. Thanh Xuân Trung, Thanh Xuân, Hà Nội",Giảm hết 15%,5.0,6,Mở cửa,00:00 - 01:00 | 10:30 - 23:59,0 - 0,https://shopeefood.vn/ha-noi/tuli-food-mi-tron-mi-tron-chua-ngot-indomie-17-chinh-kinh.i383gt,Thanh Xuân
112,Ding Tea - Cầu Diễn,CAFÉ/DESSERT -Chi nhánh,"103 Cầu Diễn, P. Phúc Diễn, Bắc Từ Liêm, Hà Nội",Giảm món,4.5,999,Mở cửa,08:30 - 22:30,25.000 - 100.000,https://shopeefood.vn/ha-noi/ding-tea-cau-dien,Bắc Từ Liêm
113,Moka Home Food - Lẩu Bò Nhúng Dấm,"NHÀ HÀNG, QUÁN ĂN","56 Vũ Trọng Khánh, P. Mộ Lao, Hà Đông, Hà Nội",Giảm món,0.0,0,Mở cửa,09:00 - 23:00,0 - 0,https://shopeefood.vn/ha-noi/moka-home-food-lau-bo-nhung-dam,Hà Đông
114,"Al Fresco's - Pizza, Mỳ Ý, Sườn, Steak Bò Bít Tết - Hai Bà Trưng",NHÀ HÀNG -Chi nhánh,"23L Hai Bà Trưng, P. Hàng Bài, Hoàn Kiếm, Hà Nội",Giảm món,4.5,500,Mở cửa,10:00 - 21:15,15.000 - 330.000,https://shopeefood.vn/ha-noi/al-fresco-s-hai-ba-trung,Hai Bà Trưng
115,Vịt 29 - Vịt Quay Bắc Kinh - Bạch Mai,QUÁN ĂN -Chi nhánh,"506 Bạch Mai, P. Trương Định, Hai Bà Trưng, Hà Nội",Giảm món,4.5,10,Mở cửa,09:00 - 22:00,15.000 - 450.000,https://shopeefood.vn/ha-noi/vit-29-vit-quay-bac-kinh-bach-mai,Hai Bà Trưng
116,Bánh Mì Tuhu Bread - Đỗ Ngọc Du,QUÁN ĂN -Chi nhánh,"11 Đỗ Ngọc Du, P. Đồng Nhân, Hai Bà Trưng, Hà Nội",Giảm món,0.0,4,Mở cửa,06:00 - 23:00,0 - 0,https://shopeefood.vn/ha-noi/banh-mi-tuhu-bread-do-ngoc-du,Hai Bà Trưng
117,The Coffee House - Lê Thanh Nghị,"Yêu thích
CAFÉ/DESSERT -Chi nhánh","92 Lê Thanh Nghị, P. Bách Khoa, Hai Bà Trưng, Hà Nội",Giảm món,4.5,999,Mở cửa,07:30 - 20:30,30.000 - 60.000,https://shopeefood.vn/ha-noi/the-coffee-house-le-thanh-nghi,Hai Bà Trưng
118,Bánh Tráng Hoàng Bèo - 22 Duy Tân,"Yêu thích
QUÁN ĂN -Chi nhánh","22 Duy Tân, P. Dịch Vọng Hậu, Cầu Giấy, Hà Nội",Giảm món,4.5,500,Mở cửa,09:00 - 21:00,50.000 - 10.000,https://shopeefood.vn/ha-noi/banh-trang-hoang-beo-22-duy-tan,Cầu Giấy
119,"Highlands Coffee - Trà, Cà Phê & Bánh - Eco Lake View",CAFÉ/DESSERT -Chi nhánh,"32 Đại Từ, P. Đại Kim, Hoàng Mai, Hà Nội",Giảm món,4.5,500,Mở cửa,06:50 - 22:30,9.000 - 65.000,https://shopeefood.vn/ha-noi/highlands-coffee-tra-ca-phe-banh-eco-lake-view,Hoàng Mai
120,Pizza Pomodoro - 7 Hàng Buồm,QUÁN ĂN,"7 Hàng Buồm, P. Hàng Buồm, Hoàn Kiếm, Hà Nội",Đồng giá 200k,0.0,2,Mở cửa,10:00 - 23:59,0 - 0,https://shopeefood.vn/ha-noi/pizza-pomodoro-7-hang-buom,Hoàn Kiếm
121,"Highlands Coffee - Trà, Cà Phê & Bánh - Imperia Garden",CAFÉ/DESSERT -Chi nhánh,"Imperia Garden, 203 Nguyễn Huy Tưởng, P. Thanh Xuân Trung, Thanh Xuân, Hà Nội",Giảm món,4.5,999,Mở cửa,07:00 - 22:00,19.000 - 59.000,https://shopeefood.vn/ha-noi/highlands-coffee-tra-ca-phe-banh-imperia-garden,Thanh Xuân
122,"BB Tea & Coffee - Trà Sữa, Coffee & Nước Ép - Lê Đức Thọ",CAFÉ/DESSERT,"Số 38 Ngõ 7 Lê Đức Thọ, P. Mai Dịch, Cầu Giấy, Hà Nội",Giảm hết 10%,0.0,0,Mở cửa,09:00 - 22:00,0 - 0,https://shopeefood.vn/ha-noi/bb-tea-coffee-tra-sua-coffee-nuoc-ep-le-duc-tho.c95kvd,Cầu Giấy
123,Ô Long Đây - 48A Cửa Bắc,QUÁN ĂN -Chi nhánh,"48A Cửa Bắc, P. Trúc Bạch, Ba Đình, Hà Nội",Giảm món,4.5,100,Mở cửa,09:00 - 22:00,0 - 0,https://shopeefood.vn/ha-noi/o-long-day-48a-cua-bac,Ba Đình
124,Cơm Phố - Cơm Gà & Cơm Bò - Dương Khuê,QUÁN ĂN,"11 Ngách 11 Ngõ 28 Dương Khuê, P. Mai Dịch, Cầu Giấy, Hà Nội",Giảm món,4.5,999,Mở cửa,10:00 - 14:00 | 17:00 - 21:00,0 - 0,https://shopeefood.vn/ha-noi/com-pho-com-ga-com-bo-duong-khue,Cầu Giấy
125,1979 Pizza - Mỳ Ý & Mỳ Trộn,"CAFÉ/DESSERT, QUÁN ĂN","193 Phố Hồng Mai, P. Quỳnh Lôi, Hai Bà Trưng, Hà Nội",Giảm món,4.5,100,Mở cửa,10:00 - 23:00,6.000 - 80.000,https://shopeefood.vn/ha-noi/1979-pizza-my-y-my-tron,Hai Bà Trưng
126,Cơm Cô Ba - Cơm Văn Phòng,"Yêu thích
QUÁN ĂN -Chi nhánh","Tổ 17 Tập Thể Trường Xiếc, Khu Văn Hóa Nghệ Thuật, P. Mai Dịch, Cầu Giấy, Hà Nội",Giảm món,4.5,999,Mở cửa,10:00 - 15:00 | 17:00 - 21:00,10.000 - 65.000,https://shopeefood.vn/ha-noi/com-co-ba-com-van-phong,Cầu Giấy
127,"Pozaa Tea - 177 Nguyễn Ngọc Vũ - Trà Sữa, Trà Chanh & Nước Ép","Yêu thích
QUÁN ĂN","177 Nguyễn Ngọc Vũ, P. Trung Hoà, Cầu Giấy, Hà Nội",Giảm món,4.5,10,Mở cửa,08:20 - 23:50,0 - 0,https://shopeefood.vn/ha-noi/pozaa-tea-177-nguyen-ngoc-vu-tra-sua-tra-chanh-nuoc-ep,Cầu Giấy
128,Bún Đậu Mẹt Minh Thư - Văn Minh,"Yêu thích
QUÁN ĂN -Chi nhánh","1 Ngõ Văn Minh, P. Mai Dịch, Cầu Giấy, Hà Nội",Giảm món,4.5,999,Mở cửa,09:00 - 23:15,28.000 - 120.000,https://shopeefood.vn/ha-noi/bun-dau-met-minh-thu-van-minh,Cầu Giấy
129,"GÀ MẸT NGON, GÀ CUỐN XÔI BÍCH HỢI - Hoàng Tăng Bí",ĂN VẶT/VỈA HÈ,"155 Hoàng Tăng Bí, Bắc Từ Liêm, Hà Nội",Giảm món,0.0,3,Mở cửa,00:00 - 23:59,0 - 0,https://shopeefood.vn/ha-noi/ga-met-ngon-ga-cuon-xoi-bich-hoi-hoang-tang-bi.9a8zrb,Bắc Từ Liêm
130,"Dương Dương - Lẩu Tokbokki, Mỳ Cay, Trà Chanh & Trà Tắc Online - Đồng Me",QUÁN ĂN -Chi nhánh,"Số Nhà 46 Ngõ 32 Đồng Me, P. Mễ Trì, Nam Từ Liêm, Hà Nội",Giảm món,4.5,999,Mở cửa,00:00 - 02:00 | 10:00 - 23:59,0 - 0,https://shopeefood.vn/ha-noi/duong-duong-lau-tokbokki-my-cay-tra-chanh-tra-tac-online-dong-me,Nam Từ Liêm
131,Bánh Tráng Trộn 98 - Chùa Láng,QUÁN ĂN -Chi nhánh,"Số 1 Ngõ 69 Chùa Láng, P. Láng Thượng, Đống Đa, Hà Nội",Giảm món,4.5,999,Mở cửa,09:00 - 23:00,10.000 - 50.000,https://shopeefood.vn/ha-noi/banh-trang-tron-98-chua-lang,Đống Đa
132,Bom Bốp - Bún Đậu Mơ,"Yêu thích
QUÁN ĂN -Chi nhánh","27 Ngõ 1 Nguyễn Thị Định, P. Trung Hòa, Cầu Giấy, Hà Nội",Giảm món,4.5,999,Mở cửa,09:00 - 22:00,20.000 - 50.000,https://shopeefood.vn/ha-noi/bom-bop-bun-dau-mo,Cầu Giấy
133,Oola - Trà Ô Long Đậm Vị - Tạ Quang Bửu,"Yêu thích
CAFÉ/DESSERT -Chi nhánh","108 Ng. 48 P. Tạ Quang Bửu, P. Bách Khoa, Hai Bà Trưng, Hà Nội",Giảm món,4.5,100,Mở cửa,08:30 - 22:30,0 - 0,https://shopeefood.vn/ha-noi/oola-tra-o-long-dam-vi-ta-quang-buu,Hai Bà Trưng
134,Mì Trộn Indomie 158 - Thành Công,"Yêu thích
QUÁN ĂN -Chi nhánh","105 - C8 Thành Công, P. Thành Công, Ba Đình, Hà Nội",Giảm món,4.5,999,Mở cửa,00:00 - 01:50 | 07:10 - 23:59,20.000 - 30.000,https://shopeefood.vn/ha-noi/mi-tron-indomie-158-thanh-cong,Ba Đình
135,Bếp Tôm - Chân Gà Thảo Quả & Chân Gà Xả Tắc - Trần Thái Tông,"Yêu thích
QUÁN ĂN -Chi nhánh","20 Ngách 44/64 Trần Thái Tông, P. Dịch Vọng Hậu, Cầu Giấy, Hà Nội",Giảm món,4.5,500,Mở cửa,08:00 - 23:00,25.000 - 135.000,https://shopeefood.vn/ha-noi/bep-tom-chan-ga-thao-qua-chan-ga-xa-tac-tran-thai-tong,Cầu Giấy
136,Bảo Bảo - Mì Trộn Indomie - Shop Online,"Yêu thích
SHOP ONLINE -Chi nhánh","20 Ngách 63 Ngõ 355 Xuân Đỉnh, P. Xuân Đỉnh, Bắc Từ Liêm, Hà Nội",Giảm món,4.5,999,Mở cửa,00:00 - 23:59,26.000 - 60.000,https://shopeefood.vn/ha-noi/bao-bao-mi-tron-indomie-shop-online,Bắc Từ Liêm
137,Nem Nướng Nha Trang Ngọc Hằng - Hồng Mai,"Yêu thích
QUÁN ĂN -Chi nhánh","113 Hồng Mai, P. Quỳnh Lôi, Hai Bà Trưng, Hà Nội",Giảm món,4.5,100,Mở cửa,09:00 - 23:59,0 - 0,https://shopeefood.vn/ha-noi/nem-nuong-nha-trang-ngoc-hang-hong-mai,Hai Bà Trưng
138,Gà Rán KFT - Văn Quán,"Yêu thích
QUÁN ĂN","144 Đường 19/5, P. Văn Quán, Hà Đông, Hà Nội",Giảm món,4.5,100,Mở cửa,00:00 - 23:59,0 - 0,https://shopeefood.vn/ha-noi/ga-ran-kft-van-quan,Hà Đông
139,"Nước Ép, Sinh Tố Đồng Giá 21k - Yên Lãng","Yêu thích
CAFÉ/DESSERT -Chi nhánh","112 Yên Lãng, P. Thịnh Quang, Đống Đa, Hà Nội",Giảm món,4.5,999,Mở cửa,06:00 - 23:00,21.000 - 21.000,https://shopeefood.vn/ha-noi/nuoc-ep-sinh-to-dong-gia-21k-yen-lang,Đống Đa
140,Hoa Béo - Nem Nướng Ninh Hoà - Xa La,"Yêu thích
QUÁN ĂN -Chi nhánh","Số 19, Phố Xa La, P. Phúc La, Hà Đông, Hà Nội",Giảm món,4.5,999,Mở cửa,09:00 - 21:30,30.000 - 40.000,https://shopeefood.vn/ha-noi/hoa-beo-nem-nuong-nha-trang-xa-la,Hà Đông
141,Cuốn Xưa - Phở Cuốn Hà Thành - Tân Mai,"Yêu thích
QUÁN ĂN -Chi nhánh","32 ngõ 223 Tân Mai, P. Tân Mai, Hoàng Mai, Hà Nội",Giảm món,4.5,100,Mở cửa,09:00 - 14:00 | 16:00 - 21:00,0 - 0,https://shopeefood.vn/ha-noi/cuon-xua-pho-cuon-ha-thanh-tan-mai,Hoàng Mai
142,"Thạch Dừa Đồng Tháp - Cà Phê, Sinh Tố & Kem Trái Dừa",CAFÉ/DESSERT -Chi nhánh,"36 Nguyễn Chí Thanh, P. Ngọc Khánh, Ba Đình, Hà Nội",Giảm món,4.5,100,Mở cửa,09:55 - 23:30,15.000 - 50.000,https://shopeefood.vn/ha-noi/thach-dua-dong-thap-ca-phe-sinh-to-kem-trai-dua,Ba Đình
